,OLINK_1,OLINK_2,OLINK_3,OLINK_4,OLINK_5,OLINK_6,OLINK_7,OLINK_8,OLINK_9,OLINK_10,OLINK_11,OLINK_12,OLINK_13
s1,-0.7329,1.6808,-0.3952,0.4472,0.278,1.1759,1.4277,0.8387,1.0198,1.1166,0.5194,0.0961,0.3444
s2,0.1534,2.8673,-0.0253,0.4968,0.1867,1.3432,1.1295,0.4632,1.0259,1.7639,-0.1631,-0.2127,-0.0503
s3,-0.2496,2.6818,-1.4065,-0.272,0.1112,1.2074,0.9601,1.3725,0.8009,0.9445,0.6719,0.4384,0.6552
s4,-0.0246,1.8503,-0.2742,0.8219,-0.0221,0.6794,1.7107,1.128,1.1794,0.8311,1.3612,0.435,0.656
s5,-0.3691,2.4876,-0.6606,-0.3559,0.1157,0.9868,1.1531,0.521,0.7963,1.6627,-0.9627,0.4197,0.3241
s6,-0.046,1.9929,-0.7601,0.3009,0.1236,1.4822,1.1311,1.1037,0.9079,1.1908,0.7026,0.481,0.2635
s7,-0.4276,2.1666,0.3073,0.3537,0.207,0.526,1.5854,1.6454,2.0849,0.0912,1.1266,0.8601,0.624
s8,-0.0872,1.9715,-1.0364,0.1528,0.2503,1.3353,1.5939,0.0811,1.2025,1.1002,0.09,0.4043,0.0412
s9,-0.0835,3.0248,-0.9394,0.7857,-0.9128,0.8117,1.5981,0.3059,1.918,2.7056,1.744,0.5282,0.5355
s10,-0.3135,3.2154,-1.3468,-0.2269,-0.5686,0.3693,1.2555,0.048,1.095,1.1102,-0.4056,0.4239,0.5164
s11,-0.183,3.4251,-0.9754,0.0881,-0.0418,-0.4924,1.2667,1.4895,1.4265,0.2702,0.7659,0.2154,0.5477
s12,-0.5315,2.443,-0.5706,-0.0671,-0.0328,-0.2081,0.5791,0.0232,0.6266,0.693,-0.5938,0.4824,0.5698
s13,-0.0846,3.1762,-0.9097,0.5809,-0.0857,1.5268,1.2853,1.5099,0.5854,1.5828,0.8518,0.6227,0.271
s14,-0.2076,2.2311,-5.7417,0.263,-0.1287,1.9842,1.1143,0.2416,1.1381,1.6168,-1.0102,0.3466,0.1855
s15,-0.3399,2.8869,-0.9104,0.8324,-0.5219,-0.038,1.55,0.8488,1.4645,0.4544,1.55,1.0411,0.9715
s16,0.0202,3.2819,-0.0695,0.6877,0.0704,0.4158,0.9893,1.6336,1.2205,1.2996,0.7702,-0.1815,-0.6
s17,-0.1387,2.9954,-0.7944,0.1899,-0.2702,0.4736,0.4832,0.9012,1.1537,-0.5982,0.9951,-0.4599,0.0893
s18,0.4259,4.7846,0.2746,1.0388,0.4466,-0.0151,1.2661,1.6486,1.821,0.3542,1.1917,-0.2642,-0.009
s19,0.2469,3.6578,-0.5888,0.2481,-0.2371,-0.2216,0.8793,1.3962,1.4291,1.4329,0.349,-0.8666,-0.5848
s20,-0.0668,3.2193,-1.057,0.5831,0.1567,-0.3256,0.6691,1.388,0.5089,-0.0618,0.3039,1.5252,0.8095
s21,0.1727,3.2398,-0.3631,0.4866,-0.5512,-0.5973,1.002,0.8458,0.7229,-0.5074,0.0468,0.7827,-0.3926
s22,0.2473,3.5639,-0.8738,0.6828,0.2064,0.5368,0.9567,0.1727,1.4183,-0.6315,-0.1577,1.796,0.6526
s23,0.7607,-0.4616,0.1101,0.1385,0.4265,-0.2044,0.3826,-1.1,1.1502,0.2561,0.1099,0.5063,-0.8879
s24,0.9193,0.0136,0.4164,2.0827,1.1568,0.1758,0.3125,0.2212,-0.0429,-0.2455,-0.0358,1.1496,0.7208
s25,0.0472,0.5888,-0.3087,1.1471,-0.2191,0.7241,0.5561,0.9019,0.7906,0.6788,0.4142,2.3578,-0.1603
s26,0.7896,-0.1933,0.3552,-0.4093,-0.2588,0.6742,0.5232,0.1975,0.8655,-0.2603,-0.0182,2.3006,-0.1693
s27,1.2866,-0.4185,0.9383,1.8542,0.2416,0.4248,0.7301,0.4035,1.4363,0.0789,0.1928,1.5583,-0.5468
s28,0.0413,-0.6661,0.6761,1.452,-0.0284,0.6352,0.6525,-0.4816,0.9621,0.2083,-0.5685,2.9548,-0.2273
s29,0.6354,-0.3434,-0.0056,0.7126,0.6287,0.4217,0.5169,0.0348,0.4673,0.4446,0.967,1.9376,-0.5145
s30,1.7994,0.5586,0.186,2.0507,0.2801,0.5162,0.823,0.3708,1.6692,-0.1795,1.0627,2.7755,-0.061
s31,0.8267,-0.3783,0.1006,0.1648,0.1161,0.1743,0.397,-0.3451,0.3727,0.1688,0.6805,1.5271,0.0662
s32,0.4555,-0.1708,0.7769,1.6643,0.8407,0.2808,0.3528,0.2233,0.0468,-0.0922,1.8787,1.5696,0.0169
s33,0.5999,1.2799,0.4788,1.5978,0.002,0.2276,0.4274,0.2715,0.5416,0.5214,1.5679,2.1348,0.2099
s34,0.1175,0.5133,0.0012,0.4667,-0.2705,0.255,0.3205,0.2351,0.36,0.1158,3.9103,2.1148,0.041
s35,0.9296,0.6129,0.2213,0.4522,0.3241,0.8012,0.2367,0.4456,0.5556,0.4732,0.9584,0.3241,0.1614
s36,0.8677,0.4637,0.1367,1.4207,-0.7084,0.1617,0.4905,-0.2543,1.4107,2.3515,1.1542,0.2635,0.2015
